name,birthyear,
Florence Leona Christie,1903
Florestine Marguerite Perrault,1895
Floyd Delafield Crosby,1899
Floyd MacMillan Davis,1896
Francelia Billington,1895
Frank James Cooper,1901
Gladys Johnson,1901
Eugene Oliver Edgar Stutenroth,1903
George Delmetia Beauchamp,1899
George Dewey Hay,1895
Gerschon Lichtenstein,1903
George Peabody Macready Jr.,1899
George Bolger,1899
Gerty Theresa Radnitz,1896
George Alvin Massenburg,1894
Regina Klopfer,1903
George Glenn Strange,1899
Gordon A. Alles,1901
Gregory de Gay,1900
Frances Guion Griffis,1900
William Guy Banister,1901
Chaim A. Yablonik,1903
Sarah Hope Summers,1896
Howard Arnold Jarvis,1903
Hoylande Denune Young,1903
Hugh Dudley Auchincloss Jr.,1897
Hugh Charles Studebaker,1900
Hugo E. Rogers,1899
Alvan Cordell Hadley,1895
Alfred Renton Bridges,1901
Harry Bayless Stockwell,1902
Harvey Samuel Firestone Jr.,1898
Helen Meinken,1901
Helen Marion Palmer,1898
Helen Faith Kahn,1901
Helen Tradusa Adamowska,1900
Henry Albert Botkin,1896
Marquis Henri Léopold de Fiennes,1898
Henry Robinson Luce,1898
Henry Jindrich Strasak,1901
Henryk Warszawski,1902
Herbert Joseph Biberman,1900
Hamilton Luton Luske,1903
Alfred John Austin,1899
Isaac Stanford Jolley Sr.,1900
Issac Sewell,1903
Johann Constantin Treisalt,1898
James Crawford Angel,1899
Sarah Lucretia Serson,1903
Giuseppe Profaci,1897
Joseph Rosentover,1903
John Craig,1903
Wong Tung Jim,1899
Jan Wiktor Kiepura,1902
Jane Clara Howard Berlandina,1898
Johana B. Novak,1896
Jeannette Ridlon,1895
Jeralean Kurtz,1899
Jerome Palmer Cowan,1897
John Wilkinson English,1903
John Francisco Richards II,1896
John J. Francis,1903
John Dwyer McLaughlin,1898
John Edward Tyrrell,1900
John Edwin Worley Eagle,1901
Jon Serl,1894
Jozef C. Mazur,1897
Julius Weiss,1900
Joseph Patrick Carroll Naish,1896
Jerome Irving Rodale,1898
James Kenneth Ralston,1896
Joseph McClode Gwynne,1895
Yacov (later Yacov Lebovitz),1900
Jack Edwards Livesey,1901
Lewis Delaney Offield,1903
Edward Jackson Culpepper,1902
Jacob Weiss,1897
Jake W. Ehrlich,1900
James Monroe Avent,1895
James Francis Cagney Jr.,1899
James Alexander Dewar,1897
James Kimble Vardaman Jr.,1894
Karl Dawson Wood,1898
Kathrine Kressmann Taylor,1903
Kelvin Kirkwood Keech,1895
Robert Kenneth Christy,1894
James Kimball Gannon,1900
Amalia Putti,1897
Lynton Wright Brent,1897
Lemuel Nelson Bell,1894
James Mercer Langston Hughes,1902
Lawrence Earl Crosby,1895
Lawrence Grey,1894
Laura Kean Zametkin,1900
Lawrence Dale Bell,1894
Leon Kelly,1901
Arthur Lester Matthews,1900
Leib Milstein,1895
Lewis Preston Collins II,1896
Bessie Lillian Gordy,1898
Lloyd Benedict Nolan,1902
I. Lorser Feitelson,1898
Louis Manuel McManus,1898
Louis Paul Jonas,1894
Louis Stix Weiss,1894
Louis Schanker,1903
Victoria Louise Massey,1902
Major McKinley Hillard,1896
Margaret Lorraine Gillmore,1897
Margaret Alexander,1902
Margaret Alice Kennard,1899
Melvin Horace Purvis II.,1903
Meier Suchowlański,1902
Anna Marie Eline,1902
Marion Bernice Carpenter,1902
Marjorie Acker,1894
Marjorie Lee Eaton,1901
Mark Hellinger,1903
Mary Elizabeth Fife,1898
Mary Woodard,1900
Morris Sidwirtz,1894
Mona Travis Strader,1897
Monroe Alfred Julius Schwarzlose,1902
Sydney Conway,1903
Charlotte Lillian McIldowie,1895
Nathaniel Greene Pendleton,1895
Neva Freed,1895
William Norman Ferguson,1902
Norman Thomas Newton,1898
Norman Zenos McLeod,1898
Oetje John Rogge,1903
Olive Blakeney,1899
Olive Fuller Golden,1896
Onslow Ford Stevenson,1902
Otto Carl Koppen,1901
Paul Ford Weaver,1901
Paul Karl Maria Harteck,1902
Paul Samuel Henderson,1899
Paul Shields Braden,1900
Paul Leroy Robeson,1898
Margaret Frances Bacon,1895
Frederick Lowe Schnitzer,1896
Park Arthur Manross,1895
Hein van der Niet,1901
Philip Howard Francis Dixon Blakshi,1901
Philip Asheton Tonge,1897
Quentin James Reynolds,1902
Robert Bingham Downs,1903
Robert Campbell Reeve,1902
Moses Solomon Philipp,1895
Robert Ralph Young,1897
Robert Shaen Dawe,1900
Robert Henry Winborne Welch Jr.,1899
Edward Sedan,1896
Elizabeth Raub,1902
James Roscoe Drummond,1902
Mary Cecilia Horan,1895
Rouben Zachary Mamoulian,1897
Howard Harold Ravenscroft,1902
Roy Elwood King,1903
Ruby Jean Butler,1900
Russell Watson Keeney,1897
Ruth Landshoff Vollmer,1903
George Randolph Scott,1898
Raymond Benard,1902
Ray Howard Jenkins,1897
Raymond Albert Kroc,1902
Raymond Hart Massey,1896
Regina M. Anderson,1901
Rexford Raymond Cherryman,1896
Seamon Vandenberg,1899
Ralph Ernest Dumke,1899
Ralph Steiner,1899
Sara Viola Warmbrodt,1895
Salvador Corona,1895
Samuel Arthur Campbell,1895
Samuel Saunders Greene,1895
Samson Raphaelson,1894
Solomon Isadore Neuhaus,1895
Samuel Levine,1902
Sumner Sewall,1897
Susannah Mushatt,1899
Sybil Travilla,1902
Sylvan Muldoon,1903
Theodora Kracaw,1897
Theodore Roosevelt Dalton,1901
Theresa Elizabeth Chandler,1896
Thomas Bacon Fugate,1899
Thomas Foster Hamilton,1894
Tihomil Drezga,1903
Antonio De Marco,1898
Quintino Marucci,1901
Gertrude Berliner,1903
Adele Eleonore Freed,1895
Victor Alfred Knox,1899
Vincenzo D'Ambrosio,1898
Vivian Davis,1902
Walter Elias Disney,1901
Walter Andrew Brennan,1894
Walter Davis Pidgeon,1897
Webster Bray Todd,1899
Wilhelm Altar,1900
William Franklin Walker,1896
William Fawcett Thompson,1894
William Harry Mosby,1898
Wolfgang Ferdinand Ernst Günther Stechow,1896
Władysław Daniłowski,1902
Enos Edward Canutt,1895
Alfred T. Frank,1966
Amy Elizabeth Biehl,1967
Amy Lynn Carter,1967
Amy Devers,1971
Amy Meredith Poehler,1971
Amy Marie Weber,1970
Andrew Baker Willison,1966
Andrew Craig Ballen,1973
Joshua Andrew Koenig,1968
Andrew Cunningham Wilson,1964
Andrew J. Andrist,1965
Andrew P. Buckley Jr.,1965
Andrew Cesewski,1973
Angela Summers,1964
Anne Marie Tremko,1968
Annie Lobert,1967
Anousheh Raissyan,1966
Kamal Rowshan,1969
Anthony Higgins Clark,1964
Anthony Renard Foxx,1971
Anthony Paul Meindl,1968
Anthony John Sullivan,1969
Anthony J. Waichulis,1972
Alejandro Mapa,1965
Alexandra Ann McLeod,1968
Alexander Garrievich Gordon,1964
Alexandra Kristin Powers,1967
Alexandra Lynette Wilson,1968
Alexi Worth,1964
David Alexis Ayala Padró,1965
Ali Hasan Abunimah,1971
Jessie Alice Celones Dixson,1969
Aliki Theofilopoulos,1972
Charles Allen Huff II,1969
Allen Roberts,1968
Allen Zadoff,1967
Allison Beth Adler,1967
Amaury Nolasco Garrido,1970
Amelia March Heinle,1973
Antony Garrett Lisi,1968
Arkady Lvovich Bukh,1972
Arlo Hanlin Hemphill,1971
Arthur Agee Jr.,1972
Audrey Marie Marrs,1970
August Adolphus Busch IV,1964
Avery Hayward Haines,1966
Aaron Darnell Spears,1971
Aaron Edward Eckhart,1968
Nazih Abdul-Hamed Nabih al-Ruqai'i,1964
Adam C. Siepel,1972
Arthur Adam Housley,1971
Adam Brooks Reed,1970
