name,birthyear,
Herbert Dickens Ryman Jr.,1910
Herbert Winfield Spencer,1905
Myrtle Louise Stonesifer,1905
Hamilton Luton Luske,1903
Henry Rosenthal,1906
Issac Sewell,1903
Ilona Hajmássy,1910
Inga Marie Stephens,1906
Irene Esther Irvine,1909
Israel Regudy,1907
Jessica Alice Tandy,1909
James Chalmers Rayburn Jr,1909
James Harrison Wilson Thompson,1906
James L. Snyder,1909
James Wallington,1907
Jiří Wachsmann,1905
Madonna Josephine Davis,1907
Sarah Lucretia Serson,1903
Joseph Albert Albertson,1906
Joseph Reeves Bolton III,1910
Giuseppe Fappiano,1905
Joseph Rosentover,1903
James Alexander Bliedung,1909
Julian Lafaye,1906
John Craig,1903
James Barrett Reston,1909
Jan Wiktor Kiepura,1902
Janet Norton Lee,1907
Jerome Hill,1905
Gerardo Luigi Colonna,1904
James Bernard Hausner,1909
John Wilkinson English,1903
John Dymock Entenza,1905
John Henry Hammond II,1910
John Harmon,1905
John J. Francis,1903
John King Fairbank,1907
John Preston Davis,1905
John Huntington Rea,1909
John Stewart Service,1909
John Edwin Worley Eagle,1901
Marion Robert Morrison,1907
John Ogden Whedon,1905
John Leonard Olson,1910
Joseph Walton Losey,1909
Joseph Albert Yablonski,1910
Josephine Alicia Saenz,1908
Evelyn Morris,1909
Marguerite Westergren,1910
Julian Hill Whittlesey,1905
Julie Campbell,1908
James Lee Rankin,1907
John Richard Simplot,1909
Irven Brod,1909
Jack Carroll Massey,1904
John Francis Donohue,1908
Leonard Lebitsky,1910
Jacob Aaron Gellman,1907
Jack Hiram Little,1908
Jack Edwards Livesey,1901
Lewis Delaney Offield,1903
Edward Jackson Culpepper,1902
Tsekoyate,1906
James William Flavin Jr.,1906
Fred Bowditch,1906
Katharine Woolf,1904
Kathrine Kressmann Taylor,1903
Kathryn McCurry,1908
Kathryn Wasserman,1907
Catalina M. de la Cruz,1907
Catherine Campbell,1904
Ekaterina Nagy von Cziser,1904
Luis d'Antin van Rooten,1906
James Mercer Langston Hughes,1902
Leonidas Jaworski,1905
Leon Kelly,1901
Leonard Clarence Strong,1908
Nicolina Spanier,1909
Lila Shanley,1909
Lillian Stokes Bostwick,1906
Lloyd Benedict Nolan,1902
Thomas Loel Evelyn Bulkeley Guinness,1906
Lorene Cuthbertson,1905
Lotus Pearl Shibata,1909
Louis Kerzner,1904
Louis Schanker,1903
Victoria Louise Massey,1902
Mae Kwestel,1908
Malcolm McKenzie Renfrew,1910
Emanuel Gould,1904
Marcella Rodange Comès,1905
Marcia Elizabeth Nash,1904
Marie Mascotte Ralston,1906
Margaret Alexander,1902
Margaret Isabel Dunning,1910
Margaret Anglin Frankel,1907
Naawakamigookwe,1904
Max Martin Fisher,1908
Melvin Mouron Belli,1907
Melvin Horace Purvis II.,1903
Meier Suchowlański,1902
María del Pilar Margarita Casajuana Martínez,1910
Anna Marie Eline,1902
Marion Bernice Carpenter,1902
Marion Suplee,1909
Marjorie Lee Eaton,1901
Marjorie Ann Guthrie,1904
Mark Hellinger,1903
Richard Marlin Perkins,1905
Martha Eccles Dodd,1908
Martha Ingham Dickie,1905
Nicolaie Yoshkin,1904
Mary Steichen,1904
Miklós Rózsa,1907
Milton Louis Grafman,1907
Monroe Alfred Julius Schwarzlose,1902
Sydney Conway,1903
Murray M Chotiner,1909
Nannie Dorothea Hinkle,1904
Natalie Smith Henry,1907
Nusyn Glass,1906
Ned L. Pines,1905
John Neil Reagan,1908
Nellie Saunders Allen,1905
Nelson Aldrich Rockefeller,1908
William Norman Ferguson,1902
Norton Winfred Simon,1907
Oetje John Rogge,1903
Onslow Ford Stevenson,1902
Orville Clarence Redenbacher,1907
Otto Carl Koppen,1901
Patrick Henry Dean,1909
Paul Ford Weaver,1901
Paul Karl Maria Harteck,1902
Paul Raphael Meltsner,1905
Sidney Kahn,1909
Anna Pauline Murray,1910
Paul Higgins Stevenson,1904
Pil Lip Ahn,1905
Hein van der Niet,1901
Philip Howard Francis Dixon Blakshi,1901
Pierce H. Deamer Jr.,1907
Prentiss Hottel Taylor,1907
Quentin James Reynolds,1902
Robb White III,1909
Robert Bingham Downs,1903
Robert Campbell Reeve,1902
Charles Clarence Robert Orville Cummings,1910
Robert Francis Boyle,1909
Robert Chesley Osborn,1904
Nathan Roderick Cox,1910
Roland Winternitz,1904
Elizabeth Raub,1902
James Roscoe Drummond,1902
Rose Alice Whelan,1904
Howard Harold Ravenscroft,1902
Roy Elwood King,1903
Ruth Blanchard Miller,1904
Ruth Landshoff Vollmer,1903
Raymond Benard,1902
Raymond Albert Kroc,1902
Ray Wise,1906
Ray Stanford Strong,1905
Raymond Loreda Salvatore Patriarca,1908
Regina M. Anderson,1901
Rhonda Belle Thomley,1907
Raemer Edgar Schreiber,1910
Walter Scott Kolk,1905
Saul Feldman,1910
Sherry Mangan,1904
George Clinton Fisher Jr.,1907
Thomas Hoyt Bryant,1908
Sally Annaźecsky Goldenni,1910
Scholem Lewin,1905
Samuel Schulman,1910
Samuel Bookatz,1910
Samuel Alexander Kirk,1904
Samuel Levine,1902
Pierre Sanford Ross III,1907
Sybil Aaron,1908
Sybil Travilla,1902
Sylvan Muldoon,1903
Sylvester Laflin Weaver Jr.,1908
Theodore Roosevelt Dalton,1901
Tihomil Drezga,1903
Federico Arturo Guízar Tolentino,1908
Athanasios Thomas Karvelas,1906
Samuel Yewell Tompkins,1909
Antonino Leonardo Accardo,1906
Quintino Marucci,1901
Torin Herbert Erskine Thatcher,1905
Gertrude Berliner,1903
Solveig Jenny Berntzen,1907
Thomas Harry Williams,1909
Thomas Keith Glennan,1905
Theodore Raymond Smith,1906
John Reagan McCrary Jr.,1910
Vernon Ferdinand Dahmer,1908
Virginia Roush,1910
Vivian Davis,1902
Werdner Page Keeton,1909
Williamson Sylvester Stuckey Sr.,1909
Walter Elias Disney,1901
Walter Philip Reuther,1907
Joseph Noonan,1906
Wilder Hobson,1906
William John Challe,1904
William A. Higinbotham,1910
William Kelsey Lanman Jr.,1904
William Edwin Walton,1909
Willis Ben Bouchey,1907
Winston Freer,1910
Winifred Elaine Gibson,1905
Władysław Daniłowski,1902
Yale Gracey,1910
name,birthyear,
Abraham Joseph Balaban,1889
Andrei Vasilevich Bicenko,1886
Anita Rhinelander Stewart,1886
Rosa Harning Lebensboym,1887
Anton Herman Gerard Fokker,1890
Avrum Moishe Grunfeld,1887
Jessaja Gronach,1893
Alexander Joseph Graf Kolowrat-Krakowsky,1886
Antonio Videgain Reparaz,1892
Archibald L. Mayo,1891
Arthemus Ward Acord,1890
Ashton Budd Collins,1885
Grover Ashton Dovell,1885
Allan Ernest Garcia,1887
Alain Leroy Locke,1886
Rufus Edward Mackahan,1892
Isabelle Donohue,1886
Bas Sheva Abramowitz,1889
Bessye Banks,1893
May Clarke,1892
Bellong Mahathera,1889
Josephine McLaughlin,1894
John Bud Pollard,1886
Charles F. Murphy,1890
Charles Spurgeon Johnson,1893
Charles Edgar Schoenbaum,1893
Charlotte Berta Malachowski,1893
Clara Viola Cronk,1892
Clara Belle Drisdale,1885
Clara Strouse,1886
Clare Winger,1891
Clarence Frank Birdseye II,1886
Clinton Holland Stagg,1888
Charles Prescott Trussell,1892
Cody Fowler,1892
Constance Gladys O'Shea,1892
Hans Walter Konrad Weidt,1893
David J. Dallin,1889
David James Davies,1893
Charles Dean O'Banion,1892
Delmer Lord,1894
Samuel David Hyams,1893
Donn Van Tassel Barclay,1892
Jesse Jacob Friedley,1888
David Frederick Wingfield Verner,1894
Edmund Dantes Lowe,1890
Edna Ruth Scott,1893
Edward John Voke,1889
Elmer Goodfellow Brendel,1890
Eli Lilly Jr.,1885
Elizabeth Holloway,1893
Mary Eloise Hughes,1893
Ernest Fiene,1894
Ernst Leonhardt,1885
Ernst Lubitsch,1892
Eva B. Heazlit,1889
Frank Parrish Conroy,1890
Francesco Castiglia,1891
James Francis Heffernan,1892
Frank Wright Tuttle,1892
Frederick Grubmeyer,1886
Friedrich Wilhelm Zinn,1892
Frederick Blantford Bate,1886
Frederick George Hoblitzell,1891
Arthur Fremont Rider,1885
Friedrich Wilhelm Plumpe,1888
Ferdinand Louis Schlemmer,1892
Fleetwood Herndon Lindley,1887
Floyd Phillips Gibbons,1887
Forrest Brisbin Spaulding,1892
Gayle Porter Hoskins,1887
Genevieve Springston,1891
George Allen Beavers Jr.,1891
George Edward Allen,1885
George Hart Ferguson,1890
George Robert Garner III,1892
Georg Kennerknecht,1888
George Palmer Putnam,1887
George Walter Mason,1891
George De Sylla Zucco,1886
Jorge Cuevas Bartholín,1885
Georgy Petrovich Fedotov,1886
Catherine Gertrude Hay,1885
Regina Wiener,1893
Gioacchino Failla,1891
George Alvin Massenburg,1894
Gladstone Mansfield Ferrie,1892
Grace Taber,1893
Hermann Ferdinand Fränkel,1888
Hobart Amory Hare Baker,1892
Horatius Holypheal Coleman,1892
Howard Conklin Baskerville,1885
Harlan Thompson,1890
Harvey John Bailey,1887
Harvey Harlow Nininger,1887
Elda Furry,1885
Helen Bray,1889
Henry Joseph Dittmar,1892
Henry Watterson Hull,1890
Haroldson Lafayette Hunt Jr.,1889
Hamilton Fish Armstrong,1893
Ida M. Adams,1888
Irving Von Peters,1893
James B. Adams,1888
James Cariggio,1892
James Francis Durante,1893
Joseph Aloysius Albi,1892
Ján Dopjera,1893
Adolf Heinrich Münz,1892
John Preston Buchanan,1888
John S. Stumar,1892
John Torrence Tate,1889
Jon Serl,1894
Joseph Barss,1892
Joseph Ignatius Breen,1888
Joseph Newton Pew Jr.,1886
Joseph Nye Welch,1890
Joseph Mansfield,1890
Joseph Bailey Walker,1892
Judith Carter Ives,1890
Júlia Justína Zavacká,1892
Jørgine Rolfsdatter Slettede,1887
Ignazio Dragna,1891
Jack Leroy Cooper,1888
Jacob Warner or Jakob Wonsal,1892
Jacob Orgen,1893
James Kimble Vardaman Jr.,1894
Samuel Cooper Searle,1890
Karl W. Freund,1890
Otto Karl Knaths,1891
Ruth Leslie,1890
Robert Kenneth Christy,1894
Kenneth Rand,1891
Horace Allen Morgan,1892
Elaine Hyman,1891
Joseph-Léo Kemner Laflamme,1893
Lemuel Nelson Bell,1894
Lawrence Grey,1894
Lawrence Dale Bell,1894
Lewis Lessinsky,1888
George Lewis Lord,1889
Lorena Alice Hickok,1893
Loretta Lucero,1892
Louis Paul Jonas,1894
Louis Stix Weiss,1894
Louise Andrews,1886
Lucile Webster,1888
Malcolm Ivan Waite,1892
Margaret Naumburg,1890
Maurice Wertheim,1886
Merian Caldwell Cooper,1893
Frederick James Ion,1886
Margery Pitt Durant,1887
Marie Jedličková,1887
Marjorie Acker,1894
Verna Martha Wentworth,1889
Mary Astor Paul,1889
Mary Elizabeth Moody,1892
Mikhail Razumnyy,1890
Mildred Robinson,1891
Marian Cooper,1891
Morris Sidwirtz,1894
Edgar Montillion Woolley,1888
Nathan Caplin,1891
Joseph Neel Reid,1885
Neil Steere McCarthy,1888
Nettie C. Williams,1887
Oliver Cromwell Carmichael,1891
Osceola Macarthy,1890
James Ripley Osgood Perkins,1892
Paul Garrett Blazer,1890
Paul Houlton Terry,1887
Pearl Minnie Harchovsky,1890
Peyton Cole Hedgeman,1890
Pierre Frank Watkin,1889
Vance DeBar Colvig,1892
Rose Elizabeth Fitzgerald,1890
Roy Kenneth Turk,1892
Ruby Burkhardt,1892
Russel Brown,1892
Ruth Isabel Seabury,1892
Ruth Bancroft Law,1887
Rafael Lopez,1886
Reginald C. Barker,1886
Ahmet Reşit,1889
James Richards Hale,1892
Richard Anton Robert Felix,1885
Ringgold Wilmer Lardner,1885
Ralph Leroy Nafziger,1887
Ralph Thomas Walker,1889
Sargent Claude Johnson,1888
Louis H. Gaut,1893
George Joseph Somerville,1892
Solomon Izrailevich Gurkov,1888
Stefano Magaddino,1891
Schmuel Wonsal,1887
Samson Raphaelson,1894
Samuel Latham Mitchell Barlow II,1892
Joshua Stewart,1893
Susan Elizabeth Potts,1890
Thomas Foster Hamilton,1894
Thomas John Mitchell,1892
Thomas Alexandrovich de Hartmann,1885
William Webster Campbell,1893
Tye Leung,1887
Thomas F. Smith,1887
Victor Arthur Kilian,1891
Victor Andrew de Bier Everleigh McLaglen,1886
Mihály Várkonyi,1891
William Vincent Astor,1891
Vincenzo Giovanni Mangano,1888
Violet Romer Shawhan,1886
Walter S. Baldwin Jr.,1889
Walter Andrew Brennan,1894
William Webster Campbell,1893
Lewis Wendell Willkie,1892
William Foxwell Albright,1891
William Fawcett Thompson,1894
William Anton Gittinger,1888
name,birthyear,
Andrew Latham Staples,1977
Ammon Edward Bundy,1975
Amy Devers,1971
Amy Meredith Poehler,1971
Amy Marie Weber,1970
Andre Nigel Barnett,1976
Anthony Shubert,1975
Andrea Danyell Lee,1974
Andrew James Baldwin,1977
Andrew Craig Ballen,1973
Andrew Boulton Firestone,1975
Andrew Morse,1974
Andrew Yan-Tak Ng,1976
Andrew F. Gresh III,1974
Andrew Cesewski,1973
Angela Bethany Goethals,1977
Ann K. Levine,1974
Anna Hahn,1976
Anna Mercedes Morris,1977
Anne Marie Cancelmi,1975
Kamal Rowshan,1969
Anthony Renard Foxx,1971
Anthony John Sullivan,1969
Anthony J. Waichulis,1972
Alethea Kontis,1976
